Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.368,2.623,1.118
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.404,56.368,8.348
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.276,5.796,3.262
Queue Limit 5,10,100,900,0.429,2.631,1.147
Latency 100ms 20ms,10,100,900,41.877,227.795,112.764
Burst Loss 8% 30%,10,100,900,0.460,2.463,1.129
Duplication 2%,10,100,900,0.469,2.558,1.190
Corruption 0.5%,10,100,900,0.466,2.556,1.157
Packet Loss 5%,10,100,900,0.417,2.956,1.132
Combined Network Conditions,10,100,900,0.312,232.698,119.863
