Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.338,2.527,1.062
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.294,24.443,2.452
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.294,5.757,2.981
Queue Limit 5,10,100,900,0.326,2.769,1.036
Latency 100ms 20ms,10,100,900,44.062,213.789,113.930
Burst Loss 8% 30%,10,100,900,0.324,2.466,1.053
Duplication 2%,10,100,900,0.357,3.715,1.067
Corruption 0.5%,10,100,900,0.358,2.439,1.068
Packet Loss 5%,10,100,900,0.300,2.433,1.066
Combined Network Conditions,10,100,900,0.209,300.512,122.365
