Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.297,2.015,0.904
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.223,24.045,3.570
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.216,5.387,2.889
Queue Limit 5,10,100,900,0.262,1.911,0.830
Latency 100ms 20ms,10,100,900,31.234,227.148,114.369
Burst Loss 8% 30%,10,100,900,0.277,1.857,0.863
Duplication 2%,10,100,900,0.219,1.838,0.819
Corruption 0.5%,10,100,900,0.266,2.094,0.875
Packet Loss 5%,10,100,900,0.275,1.982,0.800
Combined Network Conditions,10,100,900,0.203,270.325,120.138
