Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.330,2.358,1.011
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.301,13.629,2.124
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.311,6.412,2.995
Queue Limit 5,10,100,900,0.352,2.517,1.100
Latency 100ms 20ms,10,100,900,20.269,222.189,123.163
Burst Loss 8% 30%,10,100,900,0.429,2.394,1.085
Duplication 2%,10,100,900,0.399,2.363,1.120
Corruption 0.5%,10,100,900,0.286,2.789,1.053
Packet Loss 5%,10,100,900,0.373,2.454,1.098
Combined Network Conditions,10,100,900,14.344,240.581,119.072
