Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.288,2.277,0.931
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.204,49.591,8.424
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.240,5.706,2.963
Queue Limit 5,10,100,900,0.427,2.446,1.136
Latency 100ms 20ms,10,100,900,43.336,215.161,118.977
Burst Loss 8% 30%,10,100,900,0.272,2.280,0.867
Duplication 2%,10,100,900,0.279,2.415,0.936
Corruption 0.5%,10,100,900,0.301,2.573,1.008
Packet Loss 5%,10,100,900,0.339,2.302,1.015
Combined Network Conditions,10,100,900,0.245,292.864,119.282
