Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.283,2.244,0.858
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.229,39.071,7.757
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.231,5.938,2.750
Queue Limit 5,10,100,900,0.275,2.136,0.826
Latency 100ms 20ms,10,100,900,52.984,223.514,120.620
Burst Loss 8% 30%,10,100,900,0.278,2.172,0.893
Duplication 2%,10,100,900,0.268,2.099,0.858
Corruption 0.5%,10,100,900,0.269,2.283,0.864
Packet Loss 5%,10,100,900,0.289,2.130,0.865
Combined Network Conditions,10,100,900,0.193,253.666,127.926
