Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.422,2.309,1.110
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.278,23.558,2.103
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.256,6.167,2.903
Queue Limit 5,10,100,900,0.294,2.687,1.072
Latency 100ms 20ms,10,100,900,38.666,230.827,117.199
Burst Loss 8% 30%,10,100,900,0.483,3.129,1.185
Duplication 2%,10,100,900,0.506,3.178,1.268
Corruption 0.5%,10,100,900,0.466,3.275,1.207
Packet Loss 5%,10,100,900,0.372,2.544,1.157
Combined Network Conditions,10,100,900,0.267,235.614,117.137
