Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base Test (TCP),10,100,900,0.274,2.411,0.907
Base Test (QUIC),10,100,640,0.000,1.782,0.661
