Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.293,2.505,1.056
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.288,38.834,5.694
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.396,5.758,3.180
Queue Limit 5,10,100,900,0.299,3.440,1.193
Latency 100ms 20ms,10,100,900,36.959,216.599,114.088
Burst Loss 8% 30%,10,100,900,0.425,2.522,1.080
Duplication 2%,10,100,900,0.464,2.742,1.185
Corruption 0.5%,10,100,900,0.490,3.045,1.151
Packet Loss 5%,10,100,900,0.434,2.529,1.145
Combined Network Conditions,10,100,900,0.241,265.737,120.921
