Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.424,2.685,1.178
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.237,37.312,4.499
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.232,5.434,2.917
Queue Limit 5,10,100,900,0.280,2.503,1.116
Latency 100ms 20ms,10,100,900,48.056,228.382,119.337
Burst Loss 8% 30%,10,100,900,0.318,2.337,0.966
Duplication 2%,10,100,900,0.334,2.638,1.040
Corruption 0.5%,10,100,900,0.308,2.148,1.005
Packet Loss 5%,10,100,900,0.318,2.282,0.915
Combined Network Conditions,10,100,900,0.247,243.522,113.699
