Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.317,2.316,1.040
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.194,90.400,9.310
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.348,5.712,3.143
Queue Limit 5,10,100,900,0.290,2.483,1.039
Latency 100ms 20ms,10,100,900,38.595,236.116,114.681
Burst Loss 8% 30%,10,100,900,0.355,2.788,1.100
Duplication 2%,10,100,900,0.327,3.235,1.030
Corruption 0.5%,10,100,900,0.316,2.467,1.072
Packet Loss 5%,10,100,900,0.303,2.539,1.018
Combined Network Conditions,10,100,900,0.227,244.437,114.626
