Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.307,2.334,1.003
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.199,54.802,5.191
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.346,5.663,2.891
Queue Limit 5,10,100,900,0.312,2.600,1.039
Latency 100ms 20ms,10,100,900,45.253,233.566,122.615
Burst Loss 8% 30%,10,100,900,0.347,2.559,1.068
Duplication 2%,10,100,900,0.369,2.739,1.083
Corruption 0.5%,10,100,900,0.289,3.348,1.059
Packet Loss 5%,10,100,900,0.279,2.251,0.997
Combined Network Conditions,10,100,900,0.223,241.256,117.855
