Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base Test (QUIC),10,100,900,0.187,1.831,0.785
Base Test (TCP),10,100,900,0.267,2.678,1.003
