Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.297,2.783,1.115
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.246,50.787,6.425
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.366,5.815,3.274
Queue Limit 5,10,100,900,0.426,2.476,1.162
Latency 100ms 20ms,10,100,900,20.267,221.338,122.105
Burst Loss 8% 30%,10,100,900,0.375,2.445,1.136
Duplication 2%,10,100,900,0.356,2.551,1.140
Corruption 0.5%,10,100,900,0.267,3.552,1.096
Packet Loss 5%,10,100,900,0.367,2.419,1.137
Combined Network Conditions,10,100,900,0.265,227.420,119.423
