Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.275,2.217,1.003
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.212,56.354,8.053
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.236,5.488,2.999
Queue Limit 5,10,100,900,0.252,2.726,0.923
Latency 100ms 20ms,10,100,900,20.281,227.035,119.052
Burst Loss 8% 30%,10,100,900,0.338,2.276,0.983
Duplication 2%,10,100,900,0.257,2.221,0.921
Corruption 0.5%,10,100,900,0.312,2.493,0.926
Packet Loss 5%,10,100,900,0.324,2.401,1.071
Combined Network Conditions,10,100,900,0.206,328.620,130.474
