Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.312,2.273,0.985
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.228,59.002,7.585
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.223,5.532,2.946
Queue Limit 5,10,100,900,0.301,2.252,0.930
Latency 100ms 20ms,10,100,900,49.859,214.075,117.600
Burst Loss 8% 30%,10,100,900,0.348,2.323,0.978
Duplication 2%,10,100,900,0.333,2.376,0.964
Corruption 0.5%,10,100,900,0.296,2.224,0.897
Packet Loss 5%,10,100,900,0.316,2.304,0.969
Combined Network Conditions,10,100,900,0.210,259.424,119.008
