Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base Test (QUIC),10,100,640,0.000,2.181,0.990
Base Test (TCP),10,100,900,0.487,3.568,1.637
