PrNumber,Scenario,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
1814,Base Test (TCP),0.464,3.568,1.422
1815,Base Test (TCP),0.463,3.568,1.780
1816,Base Test (TCP),0.510,3.568,1.681
1817,Base Test (TCP),0.496,3.568,1.519
1819,Base Test (TCP),0.424,2.844,1.252
1820,Base Test (TCP),0.363,3.133,1.365
1821,Base Test (TCP),0.437,3.568,1.539
1823,Base Test (TCP),0.505,3.568,1.592
1824,Base Test (TCP),0.484,3.568,1.591
1825,Base Test (TCP),0.449,3.568,1.708
1828,Base Test (TCP),0.453,3.568,1.391
1829,Base Test (TCP),0.648,3.568,1.909
1831,Base Test (TCP),0.572,6.031,1.760
1832,Base Test (TCP),0.494,3.568,1.483
1835,Base Test (TCP),0.498,3.255,1.432
1837,Base Test (TCP),0.466,3.568,1.549
1838,Base Test (TCP),0.528,3.568,1.699
1839,Base Test (TCP),0.407,3.540,1.448
1841,Base Test (TCP),0.503,3.694,1.533
1842,Base Test (TCP),0.424,3.568,1.597
1843,Base Test (TCP),0.473,3.391,1.353
1844,Base Test (TCP),0.380,2.740,1.221
1845,Base Test (TCP),0.535,3.568,1.833
1846,Base Test (TCP),0.423,3.568,1.523
1847,Base Test (TCP),0.493,3.568,1.475
1848,Base Test (TCP),0.465,3.214,1.355
1849,Base Test (TCP),0.439,3.373,1.485
1850,Base Test (TCP),0.428,3.568,1.827
1852,Base Test (TCP),0.467,3.568,1.522
1853,Base Test (TCP),0.492,3.568,1.602
1855,Base Test (TCP),0.461,3.161,1.429
1857,Base Test (TCP),0.458,3.568,1.607
1858,Base Test (TCP),0.469,3.568,1.528
1860,Base Test (TCP),0.513,4.087,1.480
1861,Base Test (TCP),0.532,3.568,1.731
1862,Base Test (TCP),0.414,3.568,1.834
1863,Base Test (TCP),0.379,3.568,1.308
1864,Base Test (TCP),0.462,3.568,1.853
1865,Base Test (TCP),0.462,3.399,1.399
1866,Base Test (TCP),0.458,3.568,1.696
1868,Base Test (TCP),0.466,3.568,1.611
1869,Base Test (TCP),0.450,3.367,1.365
1870,Base Test (TCP),0.432,2.849,1.297
1871,Base Test (TCP),0.457,3.604,1.469
1872,Base Test (TCP),0.424,3.568,1.585
1874,Base Test (TCP),0.502,3.568,1.775
1877,Base Test (TCP),0.420,3.568,1.401
1878,Base Test (TCP),0.431,3.221,1.357
