Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.297,2.562,1.017
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.259,18.662,3.535
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.271,5.706,2.937
Queue Limit 5,10,100,900,0.288,2.460,0.984
Latency 100ms 20ms,10,100,900,49.891,230.406,116.550
Burst Loss 8% 30%,10,100,900,0.259,2.608,0.958
Duplication 2%,10,100,900,0.329,3.121,1.115
Corruption 0.5%,10,100,900,0.384,3.530,1.150
Packet Loss 5%,10,100,900,0.360,2.626,1.113
Combined Network Conditions,10,100,900,0.272,269.378,119.623
