Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.440,3.835,1.460
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.373,53.420,12.348
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.250,6.652,3.588
Queue Limit 5,10,100,900,0.534,3.518,1.636
Latency 100ms 20ms,10,100,900,34.770,216.809,114.336
Burst Loss 8% 30%,10,100,900,0.539,3.695,1.625
Duplication 2%,10,100,900,0.536,4.362,1.619
Corruption 0.5%,10,100,900,0.461,3.362,1.549
Packet Loss 5%,10,100,900,0.542,3.430,1.513
Combined Network Conditions,10,100,900,0.486,270.958,119.255
