Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.312,2.413,0.958
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.206,47.790,8.386
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.229,5.699,2.840
Queue Limit 5,10,100,900,0.325,2.376,0.989
Latency 100ms 20ms,10,100,900,54.759,232.772,124.748
Burst Loss 8% 30%,10,100,900,0.274,2.659,1.001
Duplication 2%,10,100,900,0.294,2.445,0.976
Corruption 0.5%,10,100,900,0.311,2.314,0.976
Packet Loss 5%,10,100,900,0.316,2.393,0.972
Combined Network Conditions,10,100,900,0.224,300.064,126.300
