Scenario,Nodes,TotalSent,TotalReceived,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
Base test,10,100,900,0.433,2.621,1.136
Low Bandwidth rate 256kbit burst 8kbit limit 5000,10,100,900,0.349,22.526,3.249
Packet Reorder 15% 40% with 2ms delay,10,100,900,0.363,5.746,3.119
Queue Limit 5,10,100,900,0.367,2.529,1.158
Latency 100ms 20ms,10,100,900,48.448,218.335,119.305
Burst Loss 8% 30%,10,100,900,0.476,2.392,1.145
Duplication 2%,10,100,900,0.465,2.830,1.198
Corruption 0.5%,10,100,900,0.506,2.868,1.194
Packet Loss 5%,10,100,900,0.492,2.809,1.195
Combined Network Conditions,10,100,900,0.290,233.788,118.861
